           k         eta           a       delta      delta'
   0.0501187  20.5645300   0.2312636   0.2260828   0.0218761
   0.0501187  20.6084600   0.2321445   0.2270449   0.0219249
   0.0501187  20.6523900   0.2330255   0.2280091   0.0219740
   0.0501187  20.6963200   0.2339067   0.2289755   0.0220234
   0.0501187  20.7402500   0.2347881   0.2299441   0.0220729
   0.0501187  20.7841800   0.2356696   0.2309149   0.0221226
   0.0501187  20.8281100   0.2365513   0.2318878   0.0221726
   0.0501187  20.8720400   0.2374332   0.2328630   0.0222227
   0.0501187  20.9159700   0.2383152   0.2338403   0.0222731
   0.0501187  20.9599000   0.2391975   0.2348199   0.0223236
   0.0501187  21.0038300   0.2400799   0.2358017   0.0223744
   0.0501187  21.0477600   0.2409625   0.2367857   0.0224253
   0.0501187  21.0916900   0.2418452   0.2377720   0.0224765
   0.0501187  21.1356200   0.2427282   0.2387605   0.0225278
   0.0501187  21.1795500   0.2436113   0.2397513   0.0225793
   0.0501187  21.2234800   0.2444946   0.2407443   0.0226310
   0.0501187  21.2674100   0.2453781   0.2417396   0.0226828
   0.0501187  21.3113400   0.2462617   0.2427372   0.0227349
   0.0501187  21.3552700   0.2471456   0.2437371   0.0227871
   0.0501187  21.3992000   0.2480296   0.2447393   0.0228395
   0.0501187  21.4431300   0.2489138   0.2457438   0.0228921
   0.0501187  21.4870600   0.2497982   0.2467506   0.0229448
   0.0501187  21.5309900   0.2506828   0.2477597   0.0229977
   0.0501187  21.5749200   0.2515676   0.2487712   0.0230508
   0.0501187  21.6188500   0.2524526   0.2497850   0.0231040
   0.0501187  21.6627800   0.2533378   0.2508011   0.0231574
   0.0501187  21.7067100   0.2542232   0.2518196   0.0232109
   0.0501187  21.7506400   0.2551088   0.2528404   0.0232646
